,TeamName,LogID,TeamColor,GameMode,Map
175,somebody help,3658416,Red,KOTH,koth_product_final
176,somebody help,3658389,Red,KOTH,koth_product_final
177,somebody help,3654195,Red,PL,pl_vigil_rc10
178,somebody help,3654153,Blue,PL,pl_vigil_rc10
179,somebody help,3654110,Blue,PL,pl_vigil_rc10
180,somebody help,3654062,Red,PL,pl_vigil_rc10
181,somebody help,3654033,Blue,PL,pl_vigil_rc10
182,somebody help,3653548,Red,PL,pl_vigil_rc10
183,somebody help,3653519,Blue,PL,pl_vigil_rc10
184,somebody help,3653472,Red,PL,pl_vigil_rc10
185,somebody help,3653435,Red,PL,pl_vigil_rc10
186,somebody help,3653414,Blue,PL,pl_vigil_rc10
187,somebody help,3652812,Red,PL,pl_vigil_rc10
188,somebody help,3652775,Blue,PL,pl_vigil_rc10
189,somebody help,3652744,Red,PL,pl_vigil_rc10
190,somebody help,3652713,Blue,PL,pl_vigil_rc10
191,somebody help,3652703,Red,PL,pl_vigil_rc10
192,somebody help,3652690,Blue,PL,pl_vigil_rc10
193,somebody help,3662172,Red,PL,pl_swiftwater_final1
194,somebody help,3662153,Red,PL,pl_swiftwater_final1
195,somebody help,3662098,Blue,PL,pl_swiftwater_final1
196,somebody help,3662060,Red,PL,pl_swiftwater_final1
197,somebody help,3662020,Blue,PL,pl_swiftwater_final1
198,somebody help,3657891,Red,KOTH,koth_product_final
199,somebody help,3657864,Red,KOTH,koth_product_final
200,somebody help,3657814,Red,KOTH,koth_product_final
201,somebody help,3657782,Red,KOTH,koth_product_final
202,somebody help,3674347,Red,KOTH,koth_lakeside_r2
203,somebody help,3666268,Red,KOTH,koth_ashville_final1
204,somebody help,3666230,Red,KOTH,koth_ashville_final1
205,somebody help,3666179,Red,KOTH,koth_ashville_final1
206,somebody help,3666163,Red,KOTH,koth_ashville_final1
207,somebody help,3666118,Red,KOTH,koth_ashville_final1
208,somebody help,3641091,Blue,PL,pl_vigil_rc10
209,somebody help,3641044,Red,KOTH,koth_product_final
210,somebody help,3673812,Red,KOTH,koth_lakeside_r2
211,somebody help,3673782,Red,KOTH,koth_lakeside_r2
212,somebody help,3673755,Red,KOTH,koth_lakeside_r2
213,somebody help,3673734,Red,KOTH,koth_lakeside_r2
214,somebody help,3665561,Red,KOTH,koth_ashville_final1
215,somebody help,3665537,Red,KOTH,koth_ashville_final1
216,somebody help,3665492,Red,KOTH,koth_ashville_final1
217,somebody help,3661471,Blue,PL,pl_swiftwater_final1
218,somebody help,3661441,Red,PL,pl_swiftwater_final1
219,somebody help,3661406,Blue,PL,pl_swiftwater_final1
220,somebody help,3661394,Red,PL,pl_swiftwater_final1
221,somebody help,3673718,Red,KOTH,koth_lakeside_r2
222,somebody help,3665467,Red,KOTH,koth_ashville_final1
223,somebody help,3665455,Red,KOTH,koth_ashville_final1
224,somebody help,3661370,Blue,PL,pl_swiftwater_final1
225,somebody help,3641712,Blue,PL,pl_vigil_rc10
226,somebody help,3641679,Blue,PL,pl_vigil_rc10
227,somebody help,3641636,Blue,PL,pl_upward_f10
228,somebody help,3641587,Red,KOTH,koth_product_final
229,somebody help,3669884,Red,PL,pl_upward_f10
230,somebody help,3669879,Red,PL,pl_upward_f10
231,somebody help,3669855,Red,PL,pl_upward_f10
232,somebody help,3669829,Blue,PL,pl_upward_f10
233,Ohio Leif Village,3674496,Blue,KOTH,koth_lakeside_r2
234,Ohio Leif Village,3674474,Blue,KOTH,koth_lakeside_r2
235,Ohio Leif Village,3674414,Blue,KOTH,koth_lakeside_r2
236,Ohio Leif Village,3674372,Red,KOTH,koth_lakeside_r2
237,Ohio Leif Village,3674335,Red,KOTH,koth_lakeside_r2
238,Ohio Leif Village,3671140,Red,PL,pl_upward_f12
239,Ohio Leif Village,3671088,Blue,PL,pl_upward_f12
240,Ohio Leif Village,3671034,Blue,PL,pl_upward_f12
241,Ohio Leif Village,3670497,Blue,PL,pl_upward_f11
242,Ohio Leif Village,3670456,Red,PL,pl_upward_f11
243,Ohio Leif Village,3670428,Blue,PL,pl_upward_f11
244,Ohio Leif Village,3670411,Blue,PL,pl_upward_f11
245,Ohio Leif Village,3670380,Red,PL,pl_upward_f11
246,Ohio Leif Village,3670348,Blue,PL,pl_upward_f11
247,Ohio Leif Village,3669867,Blue,PL,pl_upward_f10
248,Ohio Leif Village,3669856,Blue,PL,pl_upward_f10
249,Ohio Leif Village,3669818,Red,PL,pl_upward_f10
250,Ohio Leif Village,3669805,Blue,PL,pl_upward_f12
251,Ohio Leif Village,3669765,Blue,PL,pl_upward_f12
252,Ohio Leif Village,3666931,Red,KOTH,koth_ashville_final1
253,Ohio Leif Village,3666908,Red,KOTH,koth_ashville_final1
254,Ohio Leif Village,3666860,Red,KOTH,koth_ashville_final1
255,Ohio Leif Village,3666794,Blue,KOTH,koth_ashville_final
256,Ohio Leif Village,3666756,Blue,KOTH,koth_ashville_final
257,Ohio Leif Village,3666264,Blue,KOTH,koth_ashville_final1
258,Ohio Leif Village,3666257,Blue,KOTH,koth_ashville_final1
259,Ohio Leif Village,3666223,Blue,KOTH,koth_ashville_final1
260,Ohio Leif Village,3666180,Blue,KOTH,koth_ashville_final1
261,Ohio Leif Village,3666147,Red,KOTH,koth_ashville_final1
262,Ohio Leif Village,3666114,Red,KOTH,koth_ashville_final1
263,Ohio Leif Village,3662745,Red,PL,pl_swiftwater_final1
264,Ohio Leif Village,3662685,Blue,PL,pl_swiftwater_final1
265,Ohio Leif Village,3662628,Blue,PL,pl_swiftwater_final1
266,Ohio Leif Village,3662599,Red,PL,pl_swiftwater_final1
267,Ohio Leif Village,3658586,Blue,KOTH,koth_product_final
268,Ohio Leif Village,3658521,Blue,KOTH,koth_product_final
269,Ohio Leif Village,3658489,Blue,KOTH,koth_product_final
270,Ohio Leif Village,3658459,Red,KOTH,koth_product_final
271,Ohio Leif Village,3658421,Red,KOTH,koth_product_final
272,Ohio Leif Village,3658386,Red,KOTH,koth_product_final
273,Ohio Leif Village,3670999,Red,PL,pl_upward_f12
274,Ohio Leif Village,3657942,Red,KOTH,koth_product_final
275,Ohio Leif Village,3657900,Red,KOTH,koth_product_final
276,Ohio Leif Village,3657866,Red,KOTH,koth_product_final
277,Ohio Leif Village,3654259,Red,PL,pl_vigil_rc10
278,Ohio Leif Village,3654233,Red,PL,pl_vigil_rc10
279,Ohio Leif Village,3654172,Blue,PL,pl_vigil_rc10
280,Ohio Leif Village,3654130,Red,PL,pl_vigil_rc10
281,Ohio Leif Village,3654084,Blue,PL,pl_vigil_rc10
282,Ohio Leif Village,3654036,Red,PL,pl_vigil_rc10
283,Ohio Leif Village,3653567,Red,PL,pl_vigil_rc10
284,Ohio Leif Village,3653550,Red,PL,pl_vigil_rc10
285,Ohio Leif Village,3653522,Blue,PL,pl_vigil_rc10
286,Ohio Leif Village,3653502,Red,PL,pl_vigil_rc10
287,Ohio Leif Village,3653495,Blue,PL,pl_vigil_rc10
